Candidate,Party,Status,State,Constituency,Age,Gender
KAKALI DEBNATH,Lok Jan Shakti Party,Accepted,West Bengal ,Lalgola,38,female
ABDUS SALAM,Independent,Accepted,West Bengal ,Nalhati,63,male
SURENDAR TEWARI,Independent,Applied,West Bengal ,Beleghata,53,male
CHANDIPADA DAS,Bahujan Samaj Party,Accepted,West Bengal ,Nanoor,47,male
ARUN KUMAR BISWAS,Communist Party of India  (Marxist),Accepted,West Bengal ,Gazole,51,male
JAKIR HOSSAIN,All India Trinamool Congress,Accepted,West Bengal ,Jangipur,48,male
TARAKESWAR SAHA,Bharatiya Janata Party,Accepted,West Bengal ,Nanoor,33,male
GOUTAM KUMAR DAS,Independent,Accepted,West Bengal ,Jangipur,51,male
Md. Imran,Independent,Accepted,West Bengal ,Entally,32,male
SABITRI MITRA,All India Trinamool Congress,Accepted,West Bengal ,Manikchak,60,female
Mousumi Roy,Independent,Accepted,West Bengal ,Entally,39,female
Md. Fayaz,Bahujan Samaj Party,Accepted,West Bengal ,Entally,30,male
SUMANTA BHOWMICK,Independent,Accepted,West Bengal ,Chowrangee,60,male
MD MATIBUR RAHAMAN,Bharatiya Janata Party,Accepted,West Bengal ,Harischandrapur,33,male
Md. Enayetullah Ansari,All India Minorities Front,Accepted,West Bengal ,Entally,41,male
SATISH RAJBANSHI,Independent,Accepted,West Bengal ,Gazole,48,male
ISHRAT KHAN,Independent,Accepted,West Bengal ,Chowrangee,50,male
SAMSUL MIYA,Socialist Party (India),Accepted,West Bengal ,Murarai,53,male
SWAMINATH KORI,Bahujan Samaj Party,Accepted,West Bengal ,Chowrangee,51,male
KANAI GHOSH,Independent,Accepted,West Bengal ,Farakka,52,male
ASIF EKBAL,Indian National Congress,Accepted,West Bengal ,Murarai,44,male
SUBRATA DAS,Independent,Accepted,West Bengal ,Harischandrapur,42,male
MAINUL HAQUE,Indian National Congress,Accepted,West Bengal ,Farakka,59,male
GOURI SANKAR GHOSH,Bharatiya Janata Party,Accepted,West Bengal ,Murshidabad,48,male
SUBIR GHOSH,Independent,Accepted,West Bengal ,Murshidabad,48,male
GOURI DAS SARKAR,Independent,Accepted,West Bengal ,Murshidabad,37,female
SUMITRA DAS,Independent,Accepted,West Bengal ,Manikchak,46,female
MADAN MOHAN MANDAL,Bahujan Samaj Party,Accepted,West Bengal ,Murshidabad,32,male
SYED IMRAN ALI MEERZA,Independent,Accepted,West Bengal ,Bhagabangola,47,male
Ashok Chowdhury,Independent,Accepted,West Bengal ,Ratua,40,male
MST. SIKHA KHATUN,Bahujan Maha Party,Accepted,West Bengal ,Bhagabangola,34,female
Payel Khatun,Independent,Accepted,West Bengal ,Ratua,27,female
MD MERAJ SORIF,Rashtriya Secular Majlis Party,Rejected,West Bengal ,Farakka,30,male
HABIB SAIKH,Rashtriya Secular Majlis Party,Accepted,West Bengal ,Murshidabad,45,male
MD DULAL SK,Indian National Congress,Accepted,West Bengal ,Mothabari,57,male
Sk Israil,Independent,Accepted,West Bengal ,Ratua,48,male
Sabina Easmin,Independent,Accepted,West Bengal ,Ratua,45,female
DALIM MANDAL,Independent,Accepted,West Bengal ,Manikchak,29,male
Khatun Najema,Indian National Congress,Accepted,West Bengal ,Ratua,34,female
MD. ALI KALIMULLAH,Rashtriya Secular Majlis Party,Accepted,West Bengal ,Mothabari,42,male
MD. NURUL ISLAM,Independent,Accepted,West Bengal ,Bhagabangola,55,male
MD. MOSTAFIJUR RAHAMAN (RANA),Communist Party of India  (Marxist),Accepted,West Bengal ,Domkal,41,male
Rudranil Ghosh,Bharatiya Janata Party,Accepted,West Bengal ,Bhabanipur,47,male
DILIP DAS,Independent,Accepted,West Bengal ,Shyampukur,61,male
DHANANJAY BANERJEE,Bahujan Samaj Party,Accepted,West Bengal ,Sagardighi,46,male
GOPAL SARKAR,Bahujan Samaj Party,Accepted,West Bengal ,Mayureswar,26,male
CHANDAN MANDAL,Bharatiya Janata Party,Accepted,West Bengal ,Jalangi,49,male
SAFIUJJAMAN SEIKH,Indian National Congress,Accepted,West Bengal ,Beldanga,63,male
ANIRBAN GANGULY,Bharatiya Janata Party,Accepted,West Bengal ,Bolpur,44,male
SHAFIUL ALAM KHAN (BANU),Indian National Congress,Accepted,West Bengal ,Kandi,63,male
Firoza Begam,Indian National Congress,Accepted,West Bengal ,Raninagar,52,female
Md. Modassar Hossain,Communist Party of India  (Marxist),Accepted,West Bengal ,Samserganj,38,male
Manjay Kumar Roy,Janata Dal  (United),Accepted,West Bengal ,Kolkata Port,31,male
Bikki Rajak,Independent,Accepted,West Bengal ,Bhabanipur,30,male
MD. HASAN JAHANGIR,Independent,Accepted,West Bengal ,Suti,56,male
EMANI BISWAS,All India Trinamool Congress,Accepted,West Bengal ,Suti,46,male
Biswajit Halder,Independent,Accepted,West Bengal ,Kolkata Port,61,male
Sk Jayed Hossain,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Accepted,West Bengal ,Kolkata Port,44,male
Dulal Barman,Bahujan Mukti Party,Accepted,West Bengal ,Balurghat,49,male
DIPAK DHALI,Independent,Accepted,West Bengal ,Durgapur Purba,58,male
ABHIJIT  HALDAR,Independent,Accepted,West Bengal ,Lalgola,36,male
Sk Ziauddin,Bharatiya Janata Party,Accepted,West Bengal ,Sujapur,43,male
HARERAM SINGH,All India Trinamool Congress,Accepted,West Bengal ,Jamuria,67,male
Rajesh Kumar Das,Independent,Accepted,West Bengal ,Kashipur-Belgachhia,33,male
BISWANATH SARKAR,Bahujan Samaj Party,Accepted,West Bengal ,Kushmandi,42,male
PIYA SAHA,Bharatiya Janata Party,Accepted,West Bengal ,Sainthia,35,female
KALPANA GHOSH,Bharatiya Janata Party,Accepted,West Bengal ,Lalgola,63,female
SUBHASIS CHOUDHURY (KHOKAN),Bharatiya Janata Party,Accepted,West Bengal ,Rampurhat,57,male
Isha Khan Choudhury,Indian National Congress,Accepted,West Bengal ,Sujapur,49,male
KANAI CHANDRA MONDAL,All India Trinamool Congress,Accepted,West Bengal ,Nabagram,67,male
KRIPALINI GHOSH,Communist Party of India  (Marxist),Accepted,West Bengal ,Nabagram,47,female
Md Rahim Biswas,Independent,Accepted,West Bengal ,Sujapur,27,male
RAJ KUMAR,Janata Dal  (United),Accepted,West Bengal ,Raniganj,51,male
